icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4029e2,GOKEN   ,United Kingdom,1721483211,1721483212,-1.25,52.5483,1310.64,False,77.21,325.04,-6.5,,1310.64,1177,False,0,2024-07-19 10:00:00
4ca63b,EIN52V  ,Ireland,1721483211,1721483211,0.5115,50.4304,8107.68,False,217.33,144.05,-3.9,,8435.34,6347,False,0,2024-07-19 10:00:00
8880f7,HVN51   ,Viet Nam,1721483104,1721483104,-0.0817,51.6469,2438.4,False,130.15,270.0,0.0,,2514.6,3246,False,0,2024-07-19 10:00:00
4ca647,RYR76TX ,Ireland,1721483211,1721483211,-5.196,52.8961,3954.78,False,161.65,312.68,-8.78,,4023.36,7747,False,0,2024-07-19 10:00:00
4ca614,EIN12W  ,Ireland,1721483211,1721483211,-8.6647,52.9624,8519.16,False,213.69,245.84,3.58,,8679.18,3610,False,0,2024-07-19 10:00:00
4ca61e,RYR7BR  ,Ireland,1721483066,1721483066,-6.2507,53.4203,144.78,False,74.94,275.51,-3.25,,144.78,4227,False,0,2024-07-19 10:00:00
4ca61f,RYR69ME ,Ireland,1721483211,1721483211,-1.2893,51.0789,9296.4,False,209.02,211.62,9.43,,9593.58,2031,False,0,2024-07-19 10:00:00
4ca61c,RYR2VX  ,Ireland,1721483211,1721483211,-2.5778,51.9925,9753.6,False,216.73,297.11,0.0,,10035.54,5454,False,0,2024-07-19 10:00:00
400e13,EZY48JE ,United Kingdom,1721483211,1721483211,-2.8145,53.0334,10066.02,False,198.12,137.74,0.65,,10363.2,7646,False,0,2024-07-19 10:00:00
407667,EZY12MY ,United Kingdom,1721483211,1721483211,0.4168,50.9403,3017.52,False,123.36,226.52,-4.88,,3116.58,2741,False,0,2024-07-19 10:00:00
406316,GTWTR   ,United Kingdom,1721483211,1721483211,-1.0261,51.3629,685.8,False,42.79,242.82,3.25,,693.42,,False,0,2024-07-19 10:00:00
405025,GUZUP   ,United Kingdom,1721483212,1721483212,-0.5286,53.6995,777.24,False,51.81,96.84,0.0,,746.76,4270,False,0,2024-07-19 10:00:00
406306,GVVBO   ,United Kingdom,1721483196,1721483196,-1.2991,51.4566,220.98,False,19.59,240.07,-3.25,,259.08,,False,0,2024-07-19 10:00:00
400d3a,GATSZ   ,United Kingdom,1721483211,1721483211,-0.0618,51.9466,670.56,False,68.34,186.48,0.33,,655.32,,False,0,2024-07-19 10:00:00
c0173e,ACA893  ,Canada,1721483211,1721483211,-1.7635,53.929,9753.6,False,270.79,333.48,0.0,,10043.16,2750,False,0,2024-07-19 10:00:00
4074b6,EZY52JH ,United Kingdom,1721483211,1721483211,-0.2476,51.7708,1905.0,False,141.49,103.88,10.4,,1958.34,3401,False,0,2024-07-19 10:00:00
4cafc4,RYR67KW ,Ireland,1721482924,1721482965,-6.2451,53.42,1920.24,False,77.97,274.92,-4.23,,160.02,1421,False,0,2024-07-19 10:00:00
4cafc0,RYR982B ,Ireland,1721483212,1721483212,-6.0481,53.4089,861.06,False,94.04,275.34,-5.53,,868.68,6275,False,0,2024-07-19 10:00:00
400f02,EZY8781 ,United Kingdom,1721483211,1721483211,0.5093,51.2664,4168.14,False,176.46,89.83,16.58,,4297.68,4632,False,0,2024-07-19 10:00:00
4cafb5,RYR1899 ,Ireland,1721483211,1721483211,-3.7346,53.4886,7315.2,False,193.27,288.15,0.0,,7513.32,6020,False,0,2024-07-19 10:00:00
4076a8,GCKZH   ,United Kingdom,1721483211,1721483211,-0.4619,53.5361,2049.78,False,53.92,318.09,0.0,,2080.26,1177,False,0,2024-07-19 10:00:00
407793,EZY61EU ,United Kingdom,1721483211,1721483211,-2.7114,51.3856,,True,0.0,357.19,,,,,False,0,2024-07-19 10:00:00
40643d,EZY31QZ ,United Kingdom,1721483211,1721483211,1.4995,51.9957,5486.4,False,212.45,293.4,0.0,,5699.76,3545,False,0,2024-07-19 10:00:00
406446,EZY14NL ,United Kingdom,1721483211,1721483211,-6.0675,54.3827,3695.7,False,170.01,149.24,14.31,,3726.18,5473,False,0,2024-07-19 10:00:00
868034,JAL43   ,Japan,1721483211,1721483211,-5.0117,57.1726,11277.6,False,218.5,163.87,0.0,,11498.58,7662,False,0,2024-07-19 10:00:00
4b1a65,EZS53JD ,Switzerland,1721483211,1721483211,-0.611,51.0686,2133.6,False,136.13,237.03,8.13,,2194.56,0553,False,0,2024-07-19 10:00:00
346303,IBE3176 ,Spain,1721483212,1721483212,-1.3607,50.2506,7955.28,False,250.73,17.43,-11.38,,8237.22,7457,False,0,2024-07-19 10:00:00
400dae,EZY157L ,United Kingdom,1721483211,1721483211,-2.162,53.4659,10972.8,False,230.87,320.24,0.0,,11285.22,6464,False,0,2024-07-19 10:00:00
40772f,EZY3169 ,United Kingdom,1721483212,1721483212,-2.6038,55.3787,8923.02,False,219.33,109.45,3.9,,9182.1,5202,False,0,2024-07-19 10:00:00
400da3,GODHB   ,United Kingdom,1721482967,1721482967,-2.3861,53.4848,198.12,False,32.39,190.06,-1.3,,190.5,7365,False,0,2024-07-19 10:00:00
4075f4,TOM688  ,United Kingdom,1721483212,1721483212,-2.2755,53.3564,,True,7.2,140.62,,,,,False,0,2024-07-19 10:00:00
4062f6,GJDRD   ,United Kingdom,1721483211,1721483211,-0.5525,53.6931,937.26,False,63.81,91.39,-0.65,,922.02,4271,False,0,2024-07-19 10:00:00
4062d5,EXS67ND ,United Kingdom,1721483211,1721483211,-1.8729,53.1155,3337.56,False,161.95,322.88,-8.78,,3421.38,5330,False,0,2024-07-19 10:00:00
400afe,EFW1FG  ,United Kingdom,1721482958,1721482958,-0.1327,51.1561,266.7,False,75.27,257.77,-4.23,,312.42,1145,False,0,2024-07-19 10:00:00
406157,GCGCE   ,United Kingdom,1721483210,1721483210,-0.4691,50.9904,358.14,False,40.38,34.09,0.33,,365.76,,False,0,2024-07-19 10:00:00
40746a,GCKUR   ,United Kingdom,1721483210,1721483211,-0.1099,50.8668,495.3,False,31.62,291.97,-0.33,,525.78,,False,0,2024-07-19 10:00:00
401f22,GBIOB   ,United Kingdom,1721483211,1721483211,-0.5573,51.3314,312.42,False,43.9,100.12,3.25,,297.18,,False,0,2024-07-19 10:00:00
3ccb52,DWW118  ,Germany,1721483209,1721483209,-1.6638,53.8635,,True,0.0,225.0,,,,0645,False,0,2024-07-19 10:00:00
86e496,JAL407  ,Japan,1721483208,1721483208,-1.3982,60.4023,12496.8,False,239.97,153.93,-0.33,,12816.84,,False,0,2024-07-19 10:00:00
400af4,GDNOP   ,United Kingdom,1721483211,1721483211,-3.045,50.1503,5509.26,False,78.73,178.88,0.0,,5638.8,6356,False,0,2024-07-19 10:00:00
c02865,CFPHS   ,Canada,1721483211,1721483212,0.3899,51.988,906.78,False,84.47,222.53,-4.23,,929.64,1461,False,0,2024-07-19 10:00:00
4cadb8,RYR2583 ,Ireland,1721483202,1721483207,-2.2768,53.3495,,True,0.0,168.75,,,,,False,0,2024-07-19 10:00:00
4cadfe,RYR15RY ,Ireland,1721483211,1721483211,-3.4574,50.0385,7757.16,False,227.52,188.84,3.58,,7978.14,2014,False,0,2024-07-19 10:00:00
40751c,EXS9QS  ,United Kingdom,1721483211,1721483211,1.4169,50.7273,11582.4,False,233.45,317.77,0.33,,12009.12,5732,False,0,2024-07-19 10:00:00
401ed9,GBIDH   ,United Kingdom,1721483143,1721483144,-0.3703,53.9012,106.68,False,32.45,115.35,-3.25,,76.2,,False,0,2024-07-19 10:00:00
